EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10088788,HAYWOOD CO., ,02/18/1976,1305,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,87, ,0,0, , ,1,50,0, ,0, , ,02/18/1976,1305,35.53,-82.95, , ,"","",64
10088789,BUNCOMBE CO., ,02/18/1976,1330,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,21, ,0,0, , ,3,50,0, ,0, , ,02/18/1976,1330,35.75,-82.47,35.77,-82.42,"","",65
10088791,BUNCOMBE CO., ,02/18/1976,1335,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,21, ,0,0, , ,.5,40,0, ,0, , ,02/18/1976,1335,35.55,-82.67, , ,"","",66
10088792,HENDERSON CO., ,02/18/1976,1345,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,89, ,0,0, , ,6,30,0, ,0, , ,02/18/1976,1345,35.30,-82.38, , ,"","",67
10089651,ROCKINGHAM CO., ,02/18/1976,1600,Tornado,0,F1,0,2,250000,0,NC,CST, , ,C,157, ,0,0, , ,5.2,33,0, ,0, , ,02/18/1976,1600,36.40,-79.78,36.47,-79.73,"","",68
10089875,ANSON CO., ,05/15/1976,945,Tornado,0,F2,0,4,25000,0,NC,CST, , ,C,7, ,0,0, , ,12.8,67,0, ,0, , ,05/15/1976,945,34.83,-80.05,35.00,-79.95,"","",69
10089876,MONTGOMERY CO., ,05/15/1976,1110,Tornado,0,F2,0,7,2500000,0,NC,CST, , ,C,123, ,0,0, , ,18.8,400,0, ,0, , ,05/15/1976,1110,35.27,-79.97,35.52,-79.83,"","",70
10089877,IREDELL CO., ,05/15/1976,1200,Tornado,0,F0,0,0,0,0,NC,CST, , ,C,97, ,0,0, , ,0,33,0, ,0, , ,05/15/1976,1200,35.72,-80.82, , ,"","",71
10089878,ROBESON CO., ,05/15/1976,1550,Tornado,0,F2,3,4,250000,0,NC,CST, , ,C,155, ,0,0, , ,10.1,33,0, ,0, , ,05/15/1976,1550,34.58,-79.28,34.72,-79.22,"","",72
10089881,BRUNSWICK CO., ,05/18/1976,1455,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,19, ,0,0, , ,.1,13,0, ,0, , ,05/18/1976,1455,33.88,-78.00, , ,"","",73
10089883,DUPLIN CO., ,06/02/1976,1500,Tornado,0,F2,0,0,2500,0,NC,CST, , ,C,61, ,0,0, , ,.3,13,0, ,0, , ,06/02/1976,1500,35.12,-78.18, , ,"","",74
10089886,JACKSON CO., ,06/28/1976,1830,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,99, ,0,0, , ,.2,10,0, ,0, , ,06/28/1976,1830,35.32,-83.17, , ,"","",75
10089895,UNION CO., ,07/15/1976,1600,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,179, ,0,0, , ,0,33,0, ,0, , ,07/15/1976,1600,34.98,-80.37, , ,"","",76
10089900,CARTERET CO., ,07/25/1976,1710,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,31, ,0,0, , ,0,33,0, ,0, , ,07/25/1976,1710,34.70,-76.85, , ,"","",77
10089902,MACON CO., ,07/29/1976,1600,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,113, ,0,0, , ,1.5,33,0, ,0, , ,07/29/1976,1600,35.22,-83.37, , ,"","",78
10089914,BRUNSWICK CO., ,08/16/1976,1330,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,19, ,0,0, , ,0,33,0, ,0, , ,08/16/1976,1330,33.88,-78.50, , ,"","",79
10089916,GUILFORD CO., ,10/08/1976,1500,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,81, ,0,0, , ,.7,13,0, ,0, , ,10/08/1976,1500,36.00,-79.87, , ,"","",80
10089917,DAVIDSON CO., ,10/08/1976,1500,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,57, ,0,0, , ,.5,13,0, ,0, , ,10/08/1976,1500,35.90,-80.12, , ,"","",81
10089918,STANLY CO., ,10/09/1976,200,Tornado,0,F1,0,0,2500,0,NC,CST, , ,C,167, ,0,0, , ,3.6,40,0, ,0, , ,10/09/1976,200,35.45,-80.25,35.48,-80.20,"","",82
10089919,SCOTLAND CO., ,10/09/1976,400,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,165, ,0,0, , ,6.1,20,0, ,0, , ,10/09/1976,400,34.77,-79.43,34.83,-79.37,"","",83
10089921,LENOIR CO., ,10/09/1976,445,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,107, ,0,0, , ,5.7,50,0, ,0, , ,10/09/1976,445,35.30,-77.77,35.37,-77.70,"","",84
10089929,CRAVEN CO., ,02/27/1977,1815,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,49, ,0,0, , ,11.4,17,0, ,0, , ,02/27/1977,1815,35.20,-77.30,35.27,-77.12,"","",85
10089930,MOORE CO., ,03/04/1977,1230,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,125, ,0,0, , ,2,20,0, ,0, , ,03/04/1977,1230,35.37,-79.65, , ,"","",86
